country,points,price,variety,type,title,description
Italy,87,22,Pinot Grigio,white,Comelli 2006 Amplius Pinot Grigio (Colli Orientali del Friuli),"Although Pinot Grigios are white wines, you could consider this a rosé instead because of its luminous copper color. The wine boasts a thick, creamy consistency and has a generous, plush feel in the mouth. It's a special and carefully crafted wine."
France,85,25,Pinot Noir,red,Domaine Jessiaume 2009  Bourgogne,"Attractive and fruity, this has red fruits at the fore. It is soft, round and balanced, with just the right amount of red currant acidity. Drink now."
Italy,91,90,Sangiovese,red,Corte Pavone 2010  Brunello di Montalcino,"Made with organically farmed grapes, this opens with pretty aromas of crushed rose, violet, perfumed berry, leather, truffle and a balsamic note. The warm palate doles out fleshy wild cherry, stewed plum, cake spice, anisette and savory herb alongside velvety tannins. It closes on a licorice note and the heat of evident alcohol. Drink 2018–2025."
US,88,35,Chardonnay,white,Joullian 2013 Highland Vineyard Chardonnay (Santa Lucia Highlands),"This wine shows more age than it should, but is quite good now, with aromas of vanilla, honeysuckle, molasses, white-flower extract and liquid marshmallow ice-cream topping. The palate brings apple extract and roasted nut flavors."
France,85,31,Bordeaux-style White Blend,white,Château Suau 2009 500 ml  (Cadillac),"Billed as a dessert wine, this is in fact more of an apéritif wine, with its botrytis sweetness muted by a soft, open character. It has ripe apricot flavors, hints of honey and a tang of orange peel."
US,90,45,Sauvignon Blanc,white,Dragonette 2013 Grassini Family Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),"Distinctive elements on the nose of this wine from the Buellton-based winery include dried peach, lemon ice and a touch of yogurt and sour cream. There is a dairy tang to the palate and only the slightest touch of green, with aged lemon peels, sour nectarine and tart plum-flesh flavors."
US,91,45,Chardonnay,white,Charles Heintz 2013 Rachael Chardonnay (Sonoma Coast),"Named for producer Charlie Heintz' mother, who once cared for the family ranch and vineyard, this salty, herbal wine opens exquisitely in Key lime pie and orange blossom. A nutty afternote follows the first set of flavors, all around a core of balanced minerality and oak, finishing with a bite of graham cracker."
US,89,36,Cabernet Sauvignon,red,Bartholomew Park 1997 Alta Vista Vyds Cabernet Sauvignon (Sonoma Valley),"An unmistakable meatiness marks the nose, and then there's some Middle Eastern spices like cumin and coriander. Earthy and full of black-fruit flavor, with oak pouring in late. Try to ignore the bulky young tannins; assume the wine will mature and find its stride down the road."
France,95,70,Riesling,white,Cave de Turckheim 2015 Brand Grand Cru Riesling (Alsace),"What a heady nose. Tangerine peel, hay flowers and ripe apples all dance and swirl across the senses. The palate takes the swirling fruit and fragrance up a notch, heightened with the intensity of tangy lemon freshness. This has utter precision and concentration, there almost seems to be a life force of stone and power behind it. It's a textbook Riesling with a clean, dry and totally tangy moreish finish. Lovely now but with great potential. Drink 2017–2035."
France,85,13,Bordeaux-style Red Blend,red,Château La Mothe du Barry 2015 French Kiss Red (Bordeaux Clairet),Red-plum and strawberry fruits are combined with a firm structure in this ripe wine. It has attractive acidity to give enough freshness. Drink from late 2016.
France,90,16,Bordeaux-style Red Blend,red,Château Bernadotte 2012  Haut-Médoc,"With the same winemaking team as Château Pichon Longueville Comtesse de Lalande in Pauillac, Bernadotte has a good pedigree. The wine is full in the mouth, structured and balanced, with ripe berry fruits bursting out from the tannic shell. The wine will develop well over the next few years; drink from 2017."
US,84,12,Red Blend,red,Chateau Morrisette NV Liberty Service Dog Red Red (Virginia),"Made from three of the prominent grapes grown in Virginia—Chambourcin, Cabernet Franc and Petit Verdot—this dry, spicy red blend is energetic and packed with red cherry, pepper and cinnamon. Friendly and accessible, it's a great everyday sip. The wine pays tribute to service dogs and their work with disabled people."
Italy,88,15,White Blend,white,Barberani 2008 Castagnolo  (Orvieto Classico Superiore),"Here is an extremely fragrant and buoyant Grechetto (with a small percentage of Chardonnay) that delivers bright tones of fresh flower, acacia, honey and white peach. It's light, fresh and would be perfect to serve on a hot summer day thanks to its cleansing freshness."
US,88,32,Sauvignon Blanc,white,Maisonry 2012 Hudson Vineyard Sauvignon Blanc (Napa Valley),"The vineyard is in the Carneros district, which makes you wonder why the winery doesn't so identify it. The wine shows brisk, mouthwatering acidity and flavors that range from ripe tropical fruits through lemons and grapefruits to tart gooseberries."
France,92,55,Chardonnay,white,Louis Latour 1998 Les Referts Premier Cru  (Puligny-Montrachet),"A rich, lush melange of fruit and nuts, with sinuous, almost unctuous flavors that twine around the palate like a snake. Long, fascinating finish, elegantly balanced and precise."
US,88,26,Pinot Noir,red,Phelps Creek 2006 Becky's Cuvée Pinot Noir (Columbia Gorge (OR)),"This blend of grapes from three different Columbia Gorge vineyards is immediately appealing, with round, smoky, relatively soft and accessible flavors. It's smooth and seductive, offering bright cherry fruit augmented with that smoky streak and a whiff of tobacco in the finish."
US,92,64,Chardonnay,white,Ram's Gate 2010 Lee's Secret Vineyard Chardonnay (Carneros),"Extravagantly rich in tropical fruit, orange, honey and sweet oak flavors, this is balanced, with crisp acidity and a dry finish. It's a good example of the popular style, at the upper tier."
Italy,91,32,Red Blend,red,Firriato 2008 Quater Red (Sicilia),"Quater is an innovative blend of Nero d'Avola, Perricone, Frappato and Nerello Cappuccio (four important indigenous grapes of Sicily) with a vinous but intense bouquet of red fruit, chocolate and spice. The mouthfeel is soft, velvety and opulent."
Italy,88,14,Sangiovese,red,Poggio Argentiera 2015 Bellamarsilia  (Morellino di Scansano),"Fragrant and enjoyable, this offers aromas of ripe berry, Mediterranean herb, pressed violet and a whiff of pine forest. On the round easygoing palate, savory notes of brown cooking spice accent a core of red cherry and black raspberry. Enjoy through 2017."
US,87,35,Cabernet Sauvignon,red,Falcone 2011 Cabernet Sauvignon (Paso Robles),"This is a dry, crisp Cabernet with blackberry, currant, mocha and oak flavors. There's some real complexity here, but it's not an ager. It's soft in body and evolves pleasantly as it breathes in the glass."
US,92,75,Cabernet Sauvignon,red,Rodney Strong 2009 Alexander's Crown Cabernet Sauvignon (Alexander Valley),"This is the winery's top Cabernet. The '09 is very ripe, rich and forward, offering powerful blackberry, cherry and currant flavors that are wrapped into soft, gentle tannins. It's quite good, but it needs a couple of years in the bottle. Best around 2015."
France,89,72,Chardonnay,white,Vazart Coquart & Fils 2010 Grand Bouquet Blanc de Blancs Brut Chardonnay (Champagne),"Based in the Côte des Blancs, this producer has made a soft, ripe style of Blanc de Blancs. It's smooth and creamy in texture, drinkable now with its hint of toastiness balanced by crisper apple flavors."
France,85,8,White Blend,white,Producteurs Plaimont 2013 Colombelle L'Originel White (Côtes de Gascogne),"A blend of Colombard and Ugni Blanc, this crisp, light wine is as fresh as a daisy. Fruity and aromatic, it offers citrus and melon flavors. The fruit explodes in the mouth, leaving a light, bright aftertaste."
Italy,87,18,Red Blend,red,Virna Borgogno 2008 Red (Langhe),"This crisp red blend from the Langhe in northern Italy offers sharp notes of dill and green olive backed by forest berry and white cherry. There's a taut, linear feel that is enhanced by the wine's fine, compact texture."
US,84,50,Chardonnay,white,Mellisoni 2016 Chardonnay (Columbia Valley (WA)),Apple and pear aromas are followed by lightly sweet rounded fruit flavors. It provides easy-drinking appeal but the sugar seems out of place.
US,88,30,Merlot,red,Madrigal 2005 Merlot (Napa Valley),"Here's a dry, stylish Merlot that will take a supporting role on the table, rather than trying to dominate it. It's fairly tannic but well-structured, with subtle flavors of dried cherries, red currants, pepper and violets. Drink now."
US,83,20,Sauvignon Blanc,white,Silverado 2007 Miller Ranch Sauvignon Blanc (Yountville),"Starts out smelling sulfury, and slow to burn off. Then turns jammy sweet in the mouth, with sugary flavors of pineapples, green apples, honeysuckle and vanilla."
US,88,12,Zinfandel,red,McManis 2015 Zinfandel (Lodi),"Mouthwatering fruit flavors and a firm, dry mouthfeel make this medium-bodied wine easy to appreciate. It smells like fresh cherries and raspberries, tastes ripe and has a fine-grained texture."
Italy,91,45,White Blend,white,Losi Querciavalle 2000  Vin Santo del Chianti Classico,"Made of equal parts dried Trebbiano and Malvasia grapes, this dessert wine has intense toasted almond, maple syrup and caramel aromas. The dense, structured palate delivers acacia honey, dried fig and toasted hazelnut flavors."
US,92,30,Chardonnay,white,Qupé 2008 Bien Nacido Vineyard Block Eleven Chardonnay (Santa Maria Valley),"A charming Chardonnay, not the biggest, baddest around, but crisp and linear and elegant. Shows saline, umami-infused lime, Meyer lemon and crème brûlée flavors, with zesty acidity. Finishes balanced and complex."
US,91,29,Pinot Noir,red,Loring Wine Company 2013 Pinot Noir (San Luis Obispo County),"A juicy nose of red cherries and sweet-leaning cranberries is leveled by a strong sagebrush element. More chaparral scrub shows on the palate, along with black pepper and other dark spices, laid across ripe raspberry and dried cherry fruits."
Italy,90,38,Sangiovese,red,Terre Nere 2009  Brunello di Montalcino,"Brawny and forward, it leads with alluring fragrances of blue flower, underbrush, forest berries, balsamic herbs and leather. The juicy palate delivers mature wild cherry layered with white pepper, cinnamon, thyme and mint. While already deliciously accessible, it should develop some complexity in the next few years but don't hold too long. Drink through 2019."
France,93,23,Riesling,white,Domaine Bott-Geyl 2015 Les Élements Riesling (Alsace),"Heady peach is joined by a tart notion of citrus foliage. This exquisite aromatic quality of the nose carries throughout the taut but generous body. Despite dryness, luscious peach and red-cheeked mirabelle plums are evoked in a very pure honest fashion. This is the bounty of 2015 displayed with a very light touch, with finesse and elegance. Drink now through 2027."
US,90,12,Sauvignon Blanc,white,Sand Point 2014 Sauvignon Blanc (Lodi),"This sophisticated and beautifully balanced wine shows that Lodi can make crisp and poised whites. It has aromas like white pepper and dried thyme, crisp lemon flavors and racy acidity. It is nicely dry, clean and tautly refreshing. While medium bodied, it has a big, vibrant presence."
US,86,30,Chardonnay,white,Mercy 2009 Zabala Vineyard Chardonnay (Arroyo Seco),"Showing oaky flavors of vanilla, butterscotch and buttered toast, this Chardonnay has the brisk acidity of the Arroyo Seco appellation. The flavors are of pineapples, oranges and limes."
US,90,22,Zinfandel,red,Folie à Deux 1998 D'Agostini Vineyard Old Vine Zinfandel (Amador County),"Full, textured nose mixes cherries and herbs, very clean and complex. The vines are almost 80 years old, and yield a briary, wild berry quality to the fruit. Balanced and complex wine, which unfolds in lingering layers through a long, satisfying finish."
France,86,25,Pinot Noir,red,Château de Santenay 2014 Vieilles Vignes  (Bourgogne),"Sourced from grapes grown in the Côte Chalonnaise, this is a soft, red-fruit-flavored wine, with a ripe, jammy character that makes it almost sweet. It is ready to drink."
US,86,15,Zinfandel,red,Rancho Zabaco 2011 Sonoma Heritage Vines Zinfandel (Sonoma County),"Even after an hour of airing, this wine is tart and sweet in primary blackberry, boysenberry and cherry fruit, which gives it a rustic, jammy taste. The sweetness suggests drinking this wine with rich meats slathered in sugary barbecue sauce."
US,91,36,Pinot Noir,red,Mansfield-Dunne 2014 Pinot Noir (Santa Lucia Highlands),"Very light in the glass, this wine shows strawberry, wild thyme, charred cedar and a smoke character. It's dainty and very herbal on the sip, with cranberry and pomegranate flavors enhanced by dried oregano and bay leaf."
US,84,25,Red Blend,red,Black Box 2013 Red Elegance Red (California),"Ripe tomato, prune and herb flavors come with some sweetness and a soft, full texture. Still, it has enough tannin and acidity to keep it lively on the finish."
US,83,11,Merlot,red,Beaulieu Vineyard 2010 Coastal Estates Merlot (California),"Dry, acidic and tannic, this has cherry and spice flavors. It's reminiscent of an old-fashioned Chianti."
France,89,24,Pinot Gris,white,Rieflé 2011 Côte de Rouffach Pinot Gris (Alsace),"This rich, boldy alcoholic wine has a pepper character that dominates fragrant fruit and spice notes. It should age well, so drink until 2020."
France,91,60,Chardonnay,white,Bouchard Père & Fils 2011 Clos Saint-Landry Premier Cru  (Beaune),"This was the first vineyard bought by the Bouchard family, purchased in 1791. More than 220 years later, this 2011 has a delicate touch of wood nestled in the heart of creamy fruit flavors. Crisp lemon and tight acidity give a bright, fresh aftertaste. Drink from 2016."
US,87,19,Red Blend,red,Midnight 2013 Full Moon Red (Paso Robles),"This everyday drinker leads with concentrated but mellow aromas of black plum, turned earth, anise and sweet mint. It's quite full on the palate, with baked red fruit and baking spice flavors. Very fruit-forward."
US,88,22,Sauvignon Blanc,white,Clos La Chance 2011 Reserve Sauvignon Blanc (Central Coast),"This brisk and refreshing wine never saw a splinter of oak, so what stars are the pure, ripe flavors of tropical and citrus fruits, lemongrass, honey and a hint of white pepper. The acidity gives it a keen, clean finish. This would be great with everything from roast chicken to Vietnamese food."
US,91,90,Cabernet Sauvignon,red,Stags' Leap Winery 2013 The Leap Estate Grown Cabernet Sauvignon (Stags Leap District),"Lushly rich on both the nose and the palate, this wine from the heart of the appellation is etched in chocolate and cedar, showing a ying-yang pull between savory and sweet. Currant and dried herb season chalky, firm tannin and toasted oak."
US,91,45,Pinot Noir,red,Byron 2010 Whole Cluster Pinot Noir (Santa Maria Valley),"The stems that were included in the fermentation give this wine a full-bodied, tannic mouthfeel, as well as adding to the spices. With raspberry, cherry and mocha flavors, it's a powerful Pinot that wants two or three years in the cellar."
Italy,90,26,Red Blend,red,Volpaia 2011  Chianti Classico,"Violet, iris, red berry and spice scents take center stage in this delicious blend of 90% Sangiovese and 10% Merlot and Syrah. The bright, fruity palate delivers wild cherry, black pepper and cinnamon spice notes alongside assertive tannins and freshness."
US,89,10,Pinot Grigio,white,Geyser Peak 2012 Pinot Grigio (California),"Dry, crisp and clean, this has rich flavors of citrus, honeydew, green apple and vanilla, brightened with keen acidity. This should be relatively easy to find."
US,91,85,Pinot Noir,red,Hirsch 2014 West Ridge Pinot Noir (Sonoma Coast),"Lean and dry on the palate, this medium-bodied wine has a subtle concentration of red-fruit flavors and fine layers of mineral and spice that unfold on the palate. Grown on a pioneering property along the Sonoma Cost, it will be best after 2020."
US,91,40,Pinot Noir,red,Renteria 2010 Pinot Noir (Russian River Valley),"Ripe, succulent flavors of cherries and cola mark this Pinot, along with earthier complexities of grilled mushrooms. Oak adds a sweet layer of toast, yet the wine remains satisfyingly dry. It's so delicious now, you can hardly keep from drinking it, but it will reward a year or two in the cellar."
US,87,27,Chardonnay,white,Twill 2014 Chardonnay (Willamette Valley),"Ripe apple and banana flavors lead this native yeast-fermented, oak-aged wine. Its loose-knit mix of fruit seems on the cusp of oxidation and is countered with tart, lemony acidity."
US,90,28,Syrah,red,Transcendence 2009 Syrah (Santa Ynez Valley),"This is high in alcohol, but it will easily pair with barbecue. It's made from fruit grown in the warm Larner Vineyard in Santa Ynez Valley as well as from the cool Lafond Vineyard in Santa Rita Hills. Rich, dry and complex, it offers brisk, citrusy acidity to offset the ripe blackberry, currant and sandalwood flavors."
US,84,24,Riesling,white,Coquelicot 2008 Riesling (Santa Ynez Valley),"A little clumsy in the mouth, with some green flavors alongside the apricot, citrus and slate flavors. Seems a bit off-dry, although high acidity provides balance. The final impression is of a rustic and everyday quaff."
France,85,7,Bordeaux-style Red Blend,red,Château Taussin 2014 Premium  (Bordeaux),"Although obviously still young, this fruity wine will develop fast. It benefits from the ripe fruit of the vintage, sweet black currants and berries that are given a crisp edge by the acidity. Already balanced, it will be drinkable from 2016."
US,83,7,Cabernet Sauvignon,red,Monterey Vineyard 1998 Cabernet Sauvignon (Monterey County),"Starts out with rough, earthy blackberry and cassis aromas, with deeper notes of plum and chocolate. Drinks very soft and velvety, almost too much so; seems to lack acidity and vibrancy. At this price, though, you can’t expect miracles."
France,89,29,Sauvignon Blanc,white,Domaine Pellé 2014 La Croix au Garde  (Sancerre),"Although best known for its base in Menetou-Salon, Pellé also has 12 acres of vines in Sancerre. This wine is fresh and crisp, with a strongly herbal element that gives a textured character as well as tight acidity. It is ready to drink."
France,96,281,Pinot Noir,red,Domaine Jean Grivot 2013  Clos de Vougeot,"This offers a firm, dense structure, with dark tannins and big, ripe, opulent fruits. At the same time the elegance that is the hallmark of the domaine is equally present with stylish red fruits and a velvet texture. The wine needs to age to be at its peak, although it is beautiful now. Drink from 2020."
France,86,17,Bordeaux-style Red Blend,red,Château Noblet 2012  Côtes de Bourg,The young tannins are keeping the wine dry at the moment. But the flavors of black currant fruitiness and fresh acidity promise a bright and fruity future. Drink from 2016.
US,86,25,Merlot,red,Raphael 2001 Estate Bottled Merlot (North Fork of Long Island),"Several years of aging has brought out some nice leather and barnyard tones that blend well with the raspberry and cherry fruit. Pleasant vanilla notes grace the moderately long and gripping finish. Although it was quite pretty when first opened, this wine declines in the glass and should therefore be drunk up as soon as possible. Try with smoked meats."
US,85,10,Red Blend,red,Snoqualmie 2007 Whistle Stop Red Red (Columbia Valley (WA)),"Herbal and dill infuse the light flavors, and the tannins feel as if they've been softened up in the winemaking process. The wine does a quick fade."
US,88,40,Syrah,red,:Nota Bene 2011 Ciel du Cheval Vineyard Syrah (Red Mountain),"This 100% varietal wine offers aromas of barrel spices, mint, dried fruit and barnyard. It's full bodied but still shows good deftness."
US,88,28,Sauvignon Blanc,white,Round Pond 2016 Sauvignon Blanc (Rutherford),"Pear and vanilla ride a wave capped by ripe tropical flourish in this thick and richly layered white from the heart of the appellation. Stainless-steel fermented, it exudes succulence and a strong taste of canned peach."
US,93,175,Cabernet Sauvignon,red,Pine Ridge 2013 Fortis Cabernet Sauvignon (Napa Valley),"A top-of-the-line effort and a departure from the producer's single-vineyard, 100% varietal bottlings, this blends 4% Malbec and 3% Merlot. Spicy with clove scents, it showcases deep cassis and cranberry flavors, with a lift of red fruit and supportive acidity."
US,85,15,White Blend,white,Annefield Vineyards NV White (Virginia),"Aromas of white currant and green pear are combined with accents of pine and citrus blossom in this blend of Vidal Blanc, Traminette, Viognier and Petite Manseng. The medium-bodied palate tastes off-dry (50g/L residual sugar), and the acidity feels tempered by the sweetness. It finishes with a tropical fruit flavor, a tang of minerality and energy."
US,89,18,Syrah,red,Klinker Brick 2007 Farráh Syrah (Lodi),"There are delicious flavors in this ripe Syrah, and while it's too soft for comfort, it sure is nice to drink. Offers waves of blackberries, mocha, black pepper and smoky sandalwood that finish thoroughly dry and complex in Asian spices."
France,84,22,Bordeaux-style Red Blend,red,Château Haut Millet 2014  Blaye Côtes de Bordeaux,This Alliance Bourg wine is dry and firm with its concentrated tannins. Too much extraction has left a bitter character. It will remain a wine that is tough.
US,85,15,Pinot Noir,red,Noble Vines 2012 667 Pinot Noir (Monterey County),"For $15 or less, you can't expect a great Pinot Noir, but you can expect a good everyday one, which is what this is. It's dry, silky and smooth, with cherry pie and white pepper flavors."
Italy,90,25,Red Blend,red,Tenuta Moraia 2010 Pietracupa  (Bolgheri),"This blend of 70% Cabernet and 30% Merlot shows pristine, lively accents of cherry, blackberry and prune. Spicy leather and tobacco tones bring up the rear, which give the palate extra girth and density."
US,85,25,Red Blend,red,Shalestone 2007 Synergy Red (Finger Lakes),"Rich and ripe on the nose with dark black fruit and olives, this is an easygoing blend of Syrah, Cab and Merlot. Medium-bodied in style, it's soft on the palate with plush tannins and flavors of cooked plum compote accented by darker hints of olive and sage."
US,93,50,Pinot Noir,red,Erath 2009 Leland Pinot Noir (Willamette Valley),"Ripe, full-bodied black cherry fruit shines here, with good tannin support. The wine is rich across the palate, with clean, focused, lingering flavors that really extend into a terrifically long finish."
US,82,18,Chardonnay,white,Rued 2010 Chardonnay (Russian River Valley),"So sweet. With sugary tangerine and pineapple flavors and plenty of caramel, it quickly palls."
US,94,45,Pinot Noir,red,Élevée Winegrowers 2012 Élevée Vineyard Pinot Noir (Dundee Hills),"The lovely label does not deceive—this is a quality product from package to palate. It's expressively aromatic, as Pinot should be, with rose petals, orange peel, raspberries and cherries. That clean, pure fruit gains weight as it carries into a lingering finish, streaked with white chocolate and supported with perfect acidity."
US,92,45,Syrah,red,K Vintners 2013 River Rock Syrah (Walla Walla Valley (WA)),"Somewhat locked up at present, the aromas offer notes of brown stems, crushed flowers, dried earth and green olive, with the fruit lurking in the background. The palate mixes savory and red-fruit flavors that play off each other all the way through the finish, showing a lot of elegance and persistence."
US,90,30,Cabernet Sauvignon,red,Trinchero 2005 Chicken Ranch Vineyard Cabernet Sauvignon (Rutherford),"Ripe, fruity and delicious. Flatters with deep, long flavors of blackberries, black currants, cassis and cedar, with a lush, tannic mouthfeel and long finish. Nice now, and should develop beyond 2012."
US,88,25,Pinot Noir,red,Claiborne & Churchill 2009 Pinot Noir (Edna Valley),"This is classic Edna Valley Pinot Noir: dry, light bodied, with crisp acidity, modest alcohol and forward flavors of raspberry, cherry and cola. Production was just shy of 2,500 cases."
US,90,24,Riesling,white,Trisaetum 2013 Wichmann Dundee Estate Dry Riesling (Dundee Hills),"Newly grafted over from Pinot Gris, this is the first vintage for Wichman Dundee Estate Rieslings. Aromas are gentle and offer a suggestion of rose petals and mint. The palate has a lightly toasted aspect, with medium weight and solid fruit flavors. It's a good effort, but it remains the lightest of the Trisaetum offerings."
US,88,35,Chardonnay,white,Marimar Estate 2006 Don Miguel Vineyard Chardonnay (Russian River Valley),"Oaky, dry and acidic, this Chard is saved by the ripeness of the underlying fruit, which gives green apple, peach, pear and pineapple flavors. The acidity hangs in there all the way through the tart finish."
US,90,55,Pinot Noir,red,Rex Hill 2013 Sims Vineyard Pinot Noir (Willamette Valley),"Tart, young and focused, this brings cranberry and black cherry fruit forward, with a lively, spicy mouthfeel. Flavors are battened down with bracing acidity and firm tannins. Give this an hour or more of breathing time, or decant."
US,86,40,Pinot Noir,red,Youngberg Hill Vineyards 2007 Jordan Block Pinot Noir (McMinnville),"A bit thin and astringent, yet with a powerful, clear focus that conjures up straight cranberry fruit flavors. Baking spices and a hint of cocoa penetrate through the hard shell of acid and tannin. Needs more time."
US,89,32,Pinot Noir,red,Chehalem 2008 3 Vineyard Pinot Noir (Willamette Valley),"A feminine, almost soft Pinot Noir, this opens nicely with scents of roses, red fruits, and pine forest. Despite its light color, it has plenty of grip and density in the mouth, even bringing some streaks of light milk chocolate into the finish."
US,89,65,Pinot Noir,red,Guarachi Family 2012 Pinot Noir (Sonoma Coast),"This inviting Pinot is broadly ripe and fully lush in earthy, spicy layers, dark cherry and plum that plays across the palate. With a long, substantial finish, iot suits pork roasts and bacon-wrapped scallops."
US,82,18,Sauvignon Blanc,white,Silverado 2006 Miller Ranch Vineyard Sauvignon Blanc (Napa Valley),"Not much going on in this flat, candy-sweet wine. It tastes like the liquid in canned peaches and pineapples."
US,83,13,Pinot Grigio,white,Main & Geary 2010 Pinot Grigio (California),"A bit heavy, with ripe flavors of apricots, pears and oranges. There's a hint of sweetness. It's a rustic wine, but serve it cold at big parties and don't worry."
US,90,32,Chardonnay,white,Kimmel 2010 Chardonnay (Mendocino County),"From Kimmel's cool Potter Valley vineyards, this 2010 Chardonnay has a lot to offer— refreshing lemon and grapefruit flavor, and a hint of orange peel amid its high-toned acidity. Lean and inviting with a richness on the finish, Kimmel is a name to watch in Mendocino Chardonnay."
US,91,45,Chardonnay,white,Testarossa 2012 Brosseau Vineyard Chardonnay (Chalone),"There's a fascinating presence of herb-roasted chicken to the well-balanced nose of this Chardonnay from the historic Brousseay Vineyard, alongside chalky minerality, golden apple and Asian pear. Once sipped, it's very easy on the palate, with baked apple, wet stone, slight kiwi and a noticeable salinity."
Italy,88,30,Sangiovese,red,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit."
US,85,25,Rhône-style Red Blend,red,Scarborough 2009 Midnight Red Red (Yakima Valley),"This Rhône-style red brings Grenache and Mourvèdre from Meek Vineyard and Syrah from Lewis; good sources both. Hard and fruity, the forward flavors quickly hit a wall of tannin, with hints of dried leaf in a tart, short finish."
US,87,28,Sauvignon Blanc,white,Tolosa 2014 Estate Sauvignon Blanc (Edna Valley),"A strong herbal front leads on the nose of this wine, with oregano and thyme notes, alongside lemongrass and a fresh, ripe green fruit element. The broad palate shows hints of green pepper."
US,86,13,Riesling,white,Wagner 2008 Select Riesling (Finger Lakes),"There's a maturity that shines through from the honeyed applesauce and steel aromas in this off-dry Riesling. Rich and full bodied on the palate, bright, fresh apple and lemon flavors linger elegantly on the tongue with a hint of bitter lime pith."
France,88,55,Bordeaux-style Red Blend,red,Château Brulescaille 2010  Côtes de Bourg,"Still firmly tannic, the wine also promises rich black fruits. It has weight, a solid, firm structure and good balancing acidity. Complex and powerful, it's only spoiled by the show of pepper from the alcohol. Drink from 2016."
US,85,80,Red Blend,red,Sutcliffe 2013 Hafoty Fawr Red (Colorado),"Tart raspberry and blackberry are sharp in this medium- to light-bodied blend, with hints of vanilla and white pepper on the palate. Fleeting tannins leads to a tangy finish."
US,93,70,Pinot Noir,red,Lynmar 2013 Quail Hill Vineyard Old Vines Pinot Noir (Russian River Valley),"From 40-plus-year-old vines planted on old rootstock, this wine is tangy in pomegranate, rhubarb and kirsch, but marked most by an irresistible depth of earthy truffle and black tea. Fine, dusty tannins add to the complexity of the mouthfeel and finish, with a hint of cinnamon at the end."
US,85,45,Pinot Noir,red,August West 2011 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),"Rosella's is a very good vineyard, but this Pinot is unripe and unbalanced. There's an herbal, vegetal note that gets in the way of the cherries and pomegranates. Hard to see it going anywhere, so drink up."
Italy,90,210,Syrah,red,Le Macchiole 2003 Scrio Syrah (Toscana),"Scrio boasts chunky aromas of clove, milk chocolate, coconut and pulsing blueberry. You can definitely identify the hot vintage in the wine's complex DNA although it isn't a big issue in terms of quality. The mouthfeel is polished and firm and the wine's long finish is amazing."
Italy,93,70,Red Blend,red,Michele Satta 2013 Piastraia  (Bolgheri Superiore),"A blend of equal parts of Merlot, Syrah, Cabernet Sauvignon and Sangiovese, this opens with mature blackberry, cedar and underbrush aromas. The juicy, creamy palate delivers black cherry, black currant, mint and tobacco flavors, with velvety tannins and a long finish. Enjoy through 2028."
US,92,45,Pinot Noir,red,David Hill 2014 Old Vine Pinot Noir (Willamette Valley),"From dry-farmed, own-rooted vines planted in 1965 by Charles Coury, this selection is remarkably fresh and forward. Lush strawberry and black cherry flavors comingle, with chocolaty tannins and exceptional texture, detail and length. It spent 14 months in 30% new French oak. Beginning with the 2015 vintage, it will have national distribution."
Italy,88,55,Red Blend,red,Tenute del Cerro 2009 Antica Chiusina  (Vino Nobile di Montepulciano),"Aromas of mature dark-skinned fruit, game, scorched earth and exotic spice lead the nose. The tight palate offers dried black fruit, toasted oak, roasted coffee bean, grilled sage and a smoky note alongside extremely astringent tannins that dry out the mouth."
US,89,27,Zinfandel,red,Solitary Cellars 2012 East Block Zinfandel (Lodi),"Like a well-made café latte, this wine balances the dry and restrained elements against creamy, mocha nuances that round out the texture and bring an almost sweet, jammy taste to the finish. Just substitute rich blackberry for coffee flavors to make the analogy work."
US,90,25,Chardonnay,white,Beaucanon 1999 Chardonnay (Napa Valley),"A rich blend that features toasty oak, vanilla and butterscotch on the nose. On the palate, it serves up a pleasing lineup of melon, apple, honey, spice and toast flavors. Creamy rich on the finish, fleshy and seductive. -J.M."
US,87,24,Chardonnay,white,Woodbury 2012 Barrel Fermented Dry Chardonnay (New York),"Pretty floral and apple aromas are laced with butter and smoke on this supple, elegant Chardonnay. Bright with sunny lemon flavor yet silky and smooth in mouthfeel, it's a satisfying, well-composed wine for any occasion."
US,93,42,Cabernet Sauvignon,red,Abeja 2005 Cabernet Sauvignon (Columbia Valley (WA)),"In this warm, ripe, lush and forward vintage, winemaker John Abbott has outdone himself. This is immediately appealing, sending a rush of black cherry and cassis fruit backed with darker notes of coffee, smoke and licorice. The flavors are dense and supple, and the wine combines grace and power, unfolding with additional layers of tar, green tea and smoky herb."
Italy,86,20,Sangiovese,red,Cavalierino 2015  Rosso di Montepulciano,"As reserved on the nose as on the palate, this Rosso shows faint dried black cherry and licorice notes. The subtlest hint of thyme marks the finish."
